Time stamp;Vehicle;Speed
2024-09-01 16:08;BUS;114
2024-09-01 16:09;BUS;120
2024-09-01 16:09;MOTORCYCLE;30
2024-09-01 16:15;TRUCK;108
2024-09-01 16:18;MOTORCYCLE;33
2024-09-01 16:19;CAR;107
2024-09-01 16:22;MOTORCYCLE;123
2024-09-01 16:29;MOTORCYCLE;53
2024-09-01 16:34;CAR;50
2024-09-01 16:36;TRUCK;102
2024-09-01 16:37;TRUCK;53
2024-09-01 16:42;MOTORCYCLE;84
2024-09-01 16:51;BUS;116
2024-09-01 16:55;MOTORCYCLE;72
2024-09-01 17:04;BUS;97
2024-09-01 17:10;MOTORCYCLE;45
2024-09-01 17:15;CAR;107
2024-09-01 17:23;CAR;42
2024-09-01 17:26;TRUCK;40
2024-09-01 17:32;CAR;123
2024-09-01 17:35;BUS;100
2024-09-01 17:43;TRUCK;36
2024-09-01 17:52;TRUCK;59
2024-09-01 17:56;MOTORCYCLE;105
2024-09-01 18:05;CAR;103
2024-09-01 18:12;CAR;38
2024-09-01 18:13;TRUCK;64
2024-09-01 18:16;MOTORCYCLE;51
2024-09-01 18:26;MOTORCYCLE;114
2024-09-01 18:27;CAR;129
2024-09-01 18:33;BUS;42
2024-09-01 18:41;TRUCK;113
2024-09-01 18:41;CAR;98
2024-09-01 18:49;TRUCK;75
2024-09-01 18:53;MOTORCYCLE;38
2024-09-01 18:57;MOTORCYCLE;46
2024-09-01 19:03;MOTORCYCLE;123
2024-09-01 19:06;BUS;68
2024-09-01 19:15;BUS;91
2024-09-01 19:17;MOTORCYCLE;39
2024-09-01 19:21;TRUCK;119
2024-09-01 19:22;MOTORCYCLE;60
2024-09-01 19:30;CAR;35
2024-09-01 19:33;CAR;35
2024-09-01 19:42;TRUCK;53
2024-09-01 19:49;TRUCK;87
2024-09-01 19:50;BUS;124
2024-09-01 19:54;TRUCK;64
2024-09-01 20:00;MOTORCYCLE;76
2024-09-01 20:03;BUS;34
2024-09-01 20:06;MOTORCYCLE;51
2024-09-01 20:12;CAR;124
2024-09-01 20:16;CAR;125
2024-09-01 20:18;CAR;121
2024-09-01 20:28;CAR;39
2024-09-01 20:29;BUS;82
2024-09-01 20:34;CAR;91
2024-09-01 20:43;TRUCK;71
2024-09-01 20:52;MOTORCYCLE;35
2024-09-01 20:59;TRUCK;46
2024-09-01 21:09;BUS;37
2024-09-01 21:10;TRUCK;33
2024-09-01 21:16;MOTORCYCLE;105
2024-09-01 21:17;BUS;74
2024-09-01 21:25;BUS;60
2024-09-01 21:29;TRUCK;31
2024-09-01 21:38;BUS;50
2024-09-01 21:43;CAR;67
2024-09-01 21:44;TRUCK;58
2024-09-01 21:51;BUS;66
2024-09-01 21:57;TRUCK;44
2024-09-01 22:01;BUS;94
2024-09-01 22:11;TRUCK;81
2024-09-01 22:15;BUS;110
2024-09-01 22:20;MOTORCYCLE;100
2024-09-01 22:28;MOTORCYCLE;109
2024-09-01 22:30;CAR;61
2024-09-01 22:32;MOTORCYCLE;89
2024-09-01 22:36;MOTORCYCLE;112
2024-09-01 22:42;TRUCK;89
2024-09-01 22:45;CAR;62
2024-09-01 22:55;BUS;73
2024-09-01 23:02;BUS;44
2024-09-01 23:11;MOTORCYCLE;109
2024-09-01 23:19;MOTORCYCLE;73
2024-09-01 23:23;MOTORCYCLE;112
2024-09-01 23:32;BUS;64
2024-09-01 23:35;TRUCK;67
2024-09-01 23:36;TRUCK;67
2024-09-01 23:41;TRUCK;78
2024-09-01 23:43;MOTORCYCLE;95
2024-09-01 23:48;BUS;84
2024-09-01 23:58;BUS;55
2024-09-02 00:02;BUS;42
2024-09-02 00:06;MOTORCYCLE;107
2024-09-02 00:07;BUS;92
2024-09-02 00:13;BUS;106
2024-09-02 00:15;CAR;39
2024-09-02 00:23;CAR;117
2024-09-02 00:27;CAR;100
2024-09-02 00:32;BUS;117
2024-09-02 00:39;MOTORCYCLE;57
2024-09-02 00:45;CAR;79
2024-09-02 00:54;TRUCK;37
2024-09-02 00:57;MOTORCYCLE;106
2024-09-02 01:01;CAR;92
2024-09-02 01:02;MOTORCYCLE;66
2024-09-02 01:06;BUS;115
2024-09-02 01:09;CAR;93
2024-09-02 01:16;MOTORCYCLE;100
2024-09-02 01:21;BUS;126
2024-09-02 01:24;CAR;37
2024-09-02 01:32;TRUCK;36
2024-09-02 01:41;TRUCK;52
2024-09-02 01:46;TRUCK;77
2024-09-02 01:48;CAR;31
2024-09-02 01:51;TRUCK;118
2024-09-02 01:58;BUS;73
2024-09-02 02:08;MOTORCYCLE;40
2024-09-02 02:15;MOTORCYCLE;118
2024-09-02 02:23;BUS;82
2024-09-02 02:25;MOTORCYCLE;102
2024-09-02 02:34;TRUCK;100
2024-09-02 02:38;CAR;114
2024-09-02 02:40;BUS;127
2024-09-02 02:40;BUS;31
2024-09-02 02:49;MOTORCYCLE;103
2024-09-02 02:58;TRUCK;43
2024-09-02 03:04;CAR;91
2024-09-02 03:08;BUS;114
2024-09-02 03:18;TRUCK;120
2024-09-02 03:19;MOTORCYCLE;68
2024-09-02 03:27;CAR;90
2024-09-02 03:34;CAR;61
2024-09-02 03:37;CAR;77
2024-09-02 03:42;TRUCK;47
2024-09-02 03:43;TRUCK;45
2024-09-02 03:52;TRUCK;80
2024-09-02 03:54;CAR;40
2024-09-02 04:01;BUS;84
2024-09-02 04:06;TRUCK;30
2024-09-02 04:10;MOTORCYCLE;54
2024-09-02 04:14;TRUCK;116
2024-09-02 04:23;MOTORCYCLE;93
2024-09-02 04:27;TRUCK;128
2024-09-02 04:31;MOTORCYCLE;77
2024-09-02 04:39;CAR;73
2024-09-02 04:39;TRUCK;62
2024-09-02 04:44;CAR;83
2024-09-02 04:50;TRUCK;91
2024-09-02 04:57;CAR;83
2024-09-02 05:05;BUS;36
2024-09-02 05:15;MOTORCYCLE;51
2024-09-02 05:17;MOTORCYCLE;120
2024-09-02 05:24;TRUCK;49
2024-09-02 05:31;BUS;45
2024-09-02 05:40;CAR;99
2024-09-02 05:44;TRUCK;105
2024-09-02 05:49;MOTORCYCLE;117
2024-09-02 05:57;BUS;49
2024-09-02 06:04;MOTORCYCLE;40
2024-09-02 06:12;BUS;41
2024-09-02 06:17;MOTORCYCLE;122
2024-09-02 06:22;MOTORCYCLE;70
2024-09-02 06:28;CAR;57
2024-09-02 06:34;MOTORCYCLE;97
2024-09-02 06:36;TRUCK;100
2024-09-02 06:42;MOTORCYCLE;67
2024-09-02 06:48;TRUCK;126
2024-09-02 06:54;BUS;39
2024-09-02 06:58;BUS;40
2024-09-02 07:07;CAR;76
2024-09-02 07:08;MOTORCYCLE;84
2024-09-02 07:11;CAR;39
2024-09-02 07:16;TRUCK;32
2024-09-02 07:25;MOTORCYCLE;50
2024-09-02 07:26;MOTORCYCLE;87
2024-09-02 07:31;CAR;42
2024-09-02 07:37;MOTORCYCLE;90
2024-09-02 07:41;TRUCK;101
2024-09-02 07:46;CAR;39
2024-09-02 07:50;TRUCK;94
2024-09-02 07:54;MOTORCYCLE;62
2024-09-02 07:55;BUS;61
2024-09-02 08:05;CAR;49
2024-09-02 08:10;MOTORCYCLE;36
2024-09-02 08:16;CAR;47
2024-09-02 08:21;TRUCK;32
2024-09-02 08:30;CAR;111
2024-09-02 08:38;CAR;77
2024-09-02 08:39;TRUCK;50
2024-09-02 08:43;MOTORCYCLE;67
2024-09-02 08:48;TRUCK;62
2024-09-02 08:54;CAR;99
2024-09-02 09:04;MOTORCYCLE;71
2024-09-02 09:05;BUS;98
2024-09-02 09:10;MOTORCYCLE;99
2024-09-02 09:12;BUS;39
2024-09-02 09:15;CAR;127
2024-09-02 09:23;CAR;97
2024-09-02 09:26;MOTORCYCLE;56
2024-09-02 09:34;MOTORCYCLE;79
2024-09-02 09:38;BUS;119
2024-09-02 09:46;BUS;94
2024-09-02 09:52;TRUCK;93
2024-09-02 09:54;BUS;90
2024-09-02 10:04;TRUCK;124
2024-09-02 10:09;CAR;65
2024-09-02 10:14;MOTORCYCLE;39
2024-09-02 10:18;BUS;113
2024-09-02 10:27;CAR;67
2024-09-02 10:32;CAR;36
2024-09-02 10:37;MOTORCYCLE;92
2024-09-02 10:41;BUS;61
2024-09-02 10:45;MOTORCYCLE;121
2024-09-02 10:47;BUS;98
2024-09-02 10:56;CAR;109
2024-09-02 10:56;BUS;67
2024-09-02 10:57;MOTORCYCLE;74
2024-09-02 11:03;BUS;83
2024-09-02 11:13;CAR;62
2024-09-02 11:14;BUS;55
2024-09-02 11:18;BUS;71
2024-09-02 11:23;TRUCK;125
2024-09-02 11:29;MOTORCYCLE;53
2024-09-02 11:32;TRUCK;70
2024-09-02 11:38;CAR;88
2024-09-02 11:45;BUS;52
2024-09-02 11:55;BUS;99
2024-09-02 12:04;CAR;124
2024-09-02 12:10;CAR;83
2024-09-02 12:11;BUS;40
2024-09-02 12:13;TRUCK;34
2024-09-02 12:20;CAR;104
2024-09-02 12:22;TRUCK;41
2024-09-02 12:28;MOTORCYCLE;110
2024-09-02 12:32;BUS;110
2024-09-02 12:41;TRUCK;46
2024-09-02 12:45;MOTORCYCLE;124
2024-09-02 12:53;BUS;125
2024-09-02 12:56;BUS;128
2024-09-02 12:58;TRUCK;87
2024-09-02 13:04;TRUCK;75
2024-09-02 13:07;CAR;99
2024-09-02 13:12;CAR;56
2024-09-02 13:21;CAR;121
2024-09-02 13:31;MOTORCYCLE;54
2024-09-02 13:34;MOTORCYCLE;71
2024-09-02 13:39;MOTORCYCLE;88
2024-09-02 13:46;BUS;71
2024-09-02 13:55;CAR;129
2024-09-02 14:02;MOTORCYCLE;82
2024-09-02 14:09;CAR;77
2024-09-02 14:12;TRUCK;93
2024-09-02 14:20;CAR;80
2024-09-02 14:20;BUS;42
2024-09-02 14:27;BUS;41
2024-09-02 14:32;MOTORCYCLE;122
2024-09-02 14:38;TRUCK;33
2024-09-02 14:41;TRUCK;73
2024-09-02 14:44;MOTORCYCLE;65
2024-09-02 14:47;CAR;117
2024-09-02 14:55;TRUCK;68
2024-09-02 15:03;CAR;59
2024-09-02 15:04;TRUCK;41
2024-09-02 15:05;TRUCK;96
2024-09-02 15:13;TRUCK;58
2024-09-02 15:20;BUS;60
2024-09-02 15:29;TRUCK;81
2024-09-02 15:37;MOTORCYCLE;92
2024-09-02 15:44;TRUCK;116
2024-09-02 15:52;BUS;101
2024-09-02 15:59;CAR;46
2024-09-02 16:06;CAR;104
2024-09-02 16:11;BUS;104
2024-09-02 16:19;BUS;117
2024-09-02 16:21;CAR;49
2024-09-02 16:28;BUS;42
2024-09-02 16:28;BUS;95
2024-09-02 16:33;TRUCK;35
2024-09-02 16:38;CAR;62
2024-09-02 16:45;BUS;80
2024-09-02 16:49;BUS;100
2024-09-02 16:59;MOTORCYCLE;120
2024-09-02 17:07;TRUCK;38
2024-09-02 17:12;BUS;72
2024-09-02 17:22;TRUCK;128
2024-09-02 17:23;BUS;85
2024-09-02 17:26;TRUCK;76
2024-09-02 17:32;TRUCK;36
2024-09-02 17:41;BUS;102
2024-09-02 17:49;MOTORCYCLE;52
2024-09-02 17:50;TRUCK;64
2024-09-02 17:57;CAR;76
2024-09-02 18:05;MOTORCYCLE;92
2024-09-02 18:05;BUS;98
2024-09-02 18:15;CAR;70
2024-09-02 18:16;MOTORCYCLE;78
2024-09-02 18:26;BUS;120
2024-09-02 18:27;MOTORCYCLE;51
2024-09-02 18:29;BUS;37
2024-09-02 18:31;TRUCK;66
2024-09-02 18:34;MOTORCYCLE;109
2024-09-02 18:41;BUS;30
2024-09-02 18:51;BUS;112
2024-09-02 19:01;TRUCK;105
2024-09-02 19:08;MOTORCYCLE;88
2024-09-02 19:15;CAR;78
2024-09-02 19:19;BUS;67
2024-09-02 19:28;TRUCK;91
2024-09-02 19:36;BUS;67
2024-09-02 19:37;BUS;116
2024-09-02 19:39;MOTORCYCLE;121
2024-09-02 19:43;BUS;90
2024-09-02 19:52;CAR;75
2024-09-02 19:58;CAR;66
2024-09-02 19:58;TRUCK;103
2024-09-02 20:05;TRUCK;78
2024-09-02 20:09;CAR;56
2024-09-02 20:19;CAR;101
2024-09-02 20:23;MOTORCYCLE;62
2024-09-02 20:29;MOTORCYCLE;128
2024-09-02 20:34;TRUCK;31
2024-09-02 20:42;BUS;68
2024-09-02 20:47;MOTORCYCLE;123
2024-09-02 20:51;BUS;89
2024-09-02 20:52;CAR;43
2024-09-02 20:53;CAR;52
2024-09-02 21:01;BUS;124
2024-09-02 21:10;CAR;61
2024-09-02 21:12;CAR;38
2024-09-02 21:14;TRUCK;90
2024-09-02 21:23;CAR;101
2024-09-02 21:24;MOTORCYCLE;73
2024-09-02 21:24;BUS;44
2024-09-02 21:33;MOTORCYCLE;73
2024-09-02 21:42;CAR;117
2024-09-02 21:49;BUS;96
2024-09-02 21:53;MOTORCYCLE;125
2024-09-02 21:59;TRUCK;106
2024-09-02 22:00;TRUCK;65
2024-09-02 22:04;CAR;104
2024-09-02 22:05;TRUCK;82
2024-09-02 22:10;TRUCK;71
2024-09-02 22:14;TRUCK;52
2024-09-02 22:15;CAR;90
2024-09-02 22:24;MOTORCYCLE;57
2024-09-02 22:25;CAR;64
2024-09-02 22:26;MOTORCYCLE;58
2024-09-02 22:36;BUS;49
2024-09-02 22:43;TRUCK;31
2024-09-02 22:49;BUS;69
2024-09-02 22:54;CAR;67
2024-09-02 23:01;TRUCK;115
2024-09-02 23:04;CAR;114
2024-09-02 23:14;MOTORCYCLE;101
2024-09-02 23:16;CAR;83
2024-09-02 23:22;MOTORCYCLE;65
2024-09-02 23:28;MOTORCYCLE;59
2024-09-02 23:31;BUS;31
2024-09-02 23:40;BUS;108
2024-09-02 23:42;CAR;55
2024-09-02 23:43;MOTORCYCLE;100
2024-09-02 23:44;MOTORCYCLE;39
2024-09-02 23:53;MOTORCYCLE;50
2024-09-02 23:56;CAR;103
2024-09-03 00:00;TRUCK;97
2024-09-03 00:01;TRUCK;103
2024-09-03 00:09;BUS;55
2024-09-03 00:16;CAR;111
2024-09-03 00:23;CAR;118
2024-09-03 00:33;BUS;121
2024-09-03 00:42;TRUCK;64
2024-09-03 00:52;TRUCK;108
2024-09-03 00:54;CAR;35
2024-09-03 00:56;CAR;105
2024-09-03 00:57;CAR;68
2024-09-03 00:59;TRUCK;119
2024-09-03 01:02;BUS;83
2024-09-03 01:04;TRUCK;112
2024-09-03 01:09;BUS;49
2024-09-03 01:18;MOTORCYCLE;83
2024-09-03 01:24;CAR;100
2024-09-03 01:24;BUS;64
2024-09-03 01:27;MOTORCYCLE;89
2024-09-03 01:29;CAR;85
2024-09-03 01:33;TRUCK;117
2024-09-03 01:34;BUS;50
2024-09-03 01:36;BUS;89
2024-09-03 01:38;MOTORCYCLE;111
2024-09-03 01:39;MOTORCYCLE;108
2024-09-03 01:41;BUS;100
2024-09-03 01:44;MOTORCYCLE;59
2024-09-03 01:50;CAR;75
2024-09-03 01:53;TRUCK;104
2024-09-03 01:56;MOTORCYCLE;95
2024-09-03 01:58;TRUCK;106
2024-09-03 02:02;BUS;108
2024-09-03 02:06;BUS;44
2024-09-03 02:08;CAR;114
2024-09-03 02:11;TRUCK;74
2024-09-03 02:18;MOTORCYCLE;112
2024-09-03 02:22;CAR;85
2024-09-03 02:23;MOTORCYCLE;45
2024-09-03 02:29;CAR;68
2024-09-03 02:31;BUS;115
2024-09-03 02:39;MOTORCYCLE;52
2024-09-03 02:43;CAR;127
2024-09-03 02:44;MOTORCYCLE;33
2024-09-03 02:48;BUS;86
2024-09-03 02:57;MOTORCYCLE;106
2024-09-03 03:01;BUS;34
2024-09-03 03:08;BUS;63
2024-09-03 03:18;BUS;114
2024-09-03 03:19;TRUCK;120
2024-09-03 03:25;CAR;87
2024-09-03 03:29;MOTORCYCLE;42
2024-09-03 03:34;CAR;81
2024-09-03 03:37;MOTORCYCLE;122
2024-09-03 03:39;TRUCK;37
2024-09-03 03:40;BUS;93
2024-09-03 03:50;BUS;95
2024-09-03 03:58;MOTORCYCLE;44
2024-09-03 04:04;MOTORCYCLE;93
2024-09-03 04:05;TRUCK;67
2024-09-03 04:05;MOTORCYCLE;122
2024-09-03 04:08;BUS;62
2024-09-03 04:12;BUS;122
2024-09-03 04:17;CAR;62
2024-09-03 04:26;TRUCK;61
2024-09-03 04:29;BUS;35
2024-09-03 04:38;CAR;66
2024-09-03 04:39;MOTORCYCLE;60
2024-09-03 04:46;CAR;124
2024-09-03 04:50;BUS;45
2024-09-03 04:56;MOTORCYCLE;70
2024-09-03 05:05;MOTORCYCLE;36
2024-09-03 05:15;CAR;55
2024-09-03 05:21;MOTORCYCLE;44
2024-09-03 05:22;TRUCK;75
2024-09-03 05:26;CAR;88
2024-09-03 05:35;TRUCK;35
2024-09-03 05:40;CAR;116
2024-09-03 05:47;CAR;103
2024-09-03 05:51;TRUCK;110
2024-09-03 05:58;MOTORCYCLE;105
2024-09-03 06:04;MOTORCYCLE;30
2024-09-03 06:09;TRUCK;31
2024-09-03 06:10;CAR;60
2024-09-03 06:17;TRUCK;84
2024-09-03 06:23;BUS;83
2024-09-03 06:28;TRUCK;52
2024-09-03 06:34;MOTORCYCLE;93
2024-09-03 06:42;TRUCK;90
2024-09-03 06:45;CAR;116
2024-09-03 06:54;CAR;90
2024-09-03 07:00;MOTORCYCLE;127
2024-09-03 07:05;BUS;101
2024-09-03 07:14;TRUCK;105
2024-09-03 07:21;CAR;94
2024-09-03 07:28;MOTORCYCLE;123
2024-09-03 07:34;TRUCK;107
2024-09-03 07:36;BUS;61
2024-09-03 07:46;MOTORCYCLE;68
2024-09-03 07:47;TRUCK;83
2024-09-03 07:48;BUS;62
2024-09-03 07:57;BUS;85
2024-09-03 08:04;CAR;113
2024-09-03 08:08;CAR;110
2024-09-03 08:16;CAR;107
2024-09-03 08:24;MOTORCYCLE;117
2024-09-03 08:30;TRUCK;77
2024-09-03 08:39;TRUCK;125
2024-09-03 08:43;CAR;32
2024-09-03 08:47;MOTORCYCLE;83
2024-09-03 08:57;MOTORCYCLE;79
2024-09-03 08:58;CAR;99
2024-09-03 09:08;BUS;118
2024-09-03 09:17;BUS;120
2024-09-03 09:22;BUS;60
2024-09-03 09:23;TRUCK;100
2024-09-03 09:31;BUS;44
2024-09-03 09:38;MOTORCYCLE;86
2024-09-03 09:39;TRUCK;99
2024-09-03 09:43;CAR;97
2024-09-03 09:52;BUS;74
2024-09-03 10:00;CAR;83
2024-09-03 10:01;MOTORCYCLE;117
2024-09-03 10:09;TRUCK;56
2024-09-03 10:13;CAR;63
2024-09-03 10:23;TRUCK;97
2024-09-03 10:32;TRUCK;65
2024-09-03 10:34;TRUCK;120
2024-09-03 10:37;CAR;129
2024-09-03 10:43;MOTORCYCLE;56
2024-09-03 10:46;MOTORCYCLE;94
2024-09-03 10:49;CAR;95
2024-09-03 10:51;MOTORCYCLE;120
2024-09-03 11:01;BUS;110
2024-09-03 11:07;MOTORCYCLE;47
2024-09-03 11:15;CAR;78
2024-09-03 11:23;BUS;125
2024-09-03 11:29;TRUCK;109
2024-09-03 11:39;BUS;103
2024-09-03 11:40;CAR;102
2024-09-03 11:49;BUS;100
2024-09-03 11:57;BUS;32
2024-09-03 12:03;CAR;60
2024-09-03 12:06;BUS;68
2024-09-03 12:11;MOTORCYCLE;78
2024-09-03 12:16;CAR;108
2024-09-03 12:18;TRUCK;35
2024-09-03 12:19;TRUCK;122
2024-09-03 12:19;CAR;32
2024-09-03 12:29;MOTORCYCLE;92
2024-09-03 12:34;MOTORCYCLE;99
2024-09-03 12:36;BUS;125
2024-09-03 12:41;TRUCK;35
2024-09-03 12:46;CAR;34
2024-09-03 12:53;BUS;38
2024-09-03 12:57;BUS;88
2024-09-03 13:01;CAR;67
2024-09-03 13:02;CAR;46
2024-09-03 13:11;CAR;44
2024-09-03 13:19;MOTORCYCLE;124
2024-09-03 13:20;BUS;30
2024-09-03 13:25;CAR;74
2024-09-03 13:28;MOTORCYCLE;73
2024-09-03 13:30;TRUCK;35
2024-09-03 13:37;CAR;75
2024-09-03 13:44;MOTORCYCLE;42
2024-09-03 13:49;CAR;56
2024-09-03 13:52;BUS;88
2024-09-03 14:01;MOTORCYCLE;111
2024-09-03 14:02;MOTORCYCLE;91
2024-09-03 14:04;BUS;63
2024-09-03 14:12;TRUCK;126
2024-09-03 14:18;TRUCK;78
2024-09-03 14:19;BUS;79
2024-09-03 14:27;TRUCK;45
2024-09-03 14:28;CAR;116
2024-09-03 14:37;CAR;44
2024-09-03 14:44;BUS;112
2024-09-03 14:46;BUS;104
2024-09-03 14:54;CAR;127
2024-09-03 14:55;TRUCK;42
2024-09-03 14:57;CAR;84
2024-09-03 14:59;TRUCK;49
2024-09-03 15:00;CAR;82
2024-09-03 15:02;TRUCK;36
2024-09-03 15:03;MOTORCYCLE;121
2024-09-03 15:06;TRUCK;82
2024-09-03 15:10;MOTORCYCLE;108
2024-09-03 15:11;TRUCK;52
2024-09-03 15:13;MOTORCYCLE;119
2024-09-03 15:23;CAR;61
2024-09-03 15:27;BUS;67
2024-09-03 15:33;TRUCK;115
2024-09-03 15:40;CAR;57
2024-09-03 15:41;BUS;74
2024-09-03 15:50;MOTORCYCLE;106
2024-09-03 15:51;MOTORCYCLE;125
2024-09-03 15:53;BUS;63
2024-09-03 15:58;CAR;63
2024-09-03 16:01;TRUCK;37
2024-09-03 16:09;TRUCK;123
2024-09-03 16:15;TRUCK;88
2024-09-03 16:18;MOTORCYCLE;113
2024-09-03 16:27;BUS;107
2024-09-03 16:29;TRUCK;106
2024-09-03 16:34;BUS;51
2024-09-03 16:37;MOTORCYCLE;84
2024-09-03 16:39;TRUCK;83
2024-09-03 16:45;MOTORCYCLE;51
2024-09-03 16:47;TRUCK;117
2024-09-03 16:49;BUS;92
2024-09-03 16:56;CAR;87
2024-09-03 17:04;BUS;88
2024-09-03 17:11;TRUCK;44
2024-09-03 17:16;BUS;127
2024-09-03 17:17;TRUCK;116
2024-09-03 17:20;MOTORCYCLE;43
2024-09-03 17:28;CAR;90
2024-09-03 17:38;MOTORCYCLE;76
2024-09-03 17:47;TRUCK;85
2024-09-03 17:54;BUS;128
2024-09-03 17:56;MOTORCYCLE;49
2024-09-03 18:02;CAR;96
2024-09-03 18:12;CAR;41
2024-09-03 18:21;MOTORCYCLE;120
2024-09-03 18:22;TRUCK;118
2024-09-03 18:30;CAR;84
2024-09-03 18:35;TRUCK;51
2024-09-03 18:41;TRUCK;56
2024-09-03 18:44;CAR;51
2024-09-03 18:45;BUS;52
2024-09-03 18:54;CAR;76
2024-09-03 19:03;MOTORCYCLE;74
2024-09-03 19:10;TRUCK;58
2024-09-03 19:16;MOTORCYCLE;110
2024-09-03 19:17;CAR;50
2024-09-03 19:25;BUS;44
2024-09-03 19:25;BUS;58
2024-09-03 19:26;MOTORCYCLE;107
2024-09-03 19:35;BUS;55
2024-09-03 19:37;BUS;59
2024-09-03 19:46;TRUCK;88
2024-09-03 19:52;CAR;49
2024-09-03 19:56;MOTORCYCLE;42
2024-09-03 20:05;CAR;79
2024-09-03 20:08;BUS;73
2024-09-03 20:13;TRUCK;87
2024-09-03 20:18;MOTORCYCLE;98
2024-09-03 20:22;BUS;30
2024-09-03 20:28;BUS;83
2024-09-03 20:31;MOTORCYCLE;34
2024-09-03 20:32;BUS;110
2024-09-03 20:41;CAR;47
2024-09-03 20:48;BUS;72
2024-09-03 20:56;CAR;112
2024-09-03 20:57;MOTORCYCLE;102
2024-09-03 21:00;MOTORCYCLE;105
2024-09-03 21:07;MOTORCYCLE;42
2024-09-03 21:08;CAR;47
